Welcome to Advit's Feature Selection Algorithm.
Type in the name of the file to test: 
This dataset has 64 features (not including the class attribute), with 3000 instances.
Running nearest neighbor with all 64 features, using "leaving-one-out" evaluation, I get an accuracy of 68.8%

Type the number of the algorithm you want to run.
1) Forward Selection
2) Backward Elimination

Beginning search.

Using feature(s) {5,7,21,24,25,35,44,59} accuracy is 82.8%
Using feature(s) {5,7,22,24,25,35,44,59} accuracy is 83.3%
Using feature(s) {5,7,23,24,25,35,44,59} accuracy is 84.0%
Using feature(s) {5,7,24,25,26,35,44,59} accuracy is 84.0%
Using feature(s) {5,7,24,25,27,35,44,59} accuracy is 82.6%
Using feature(s) {5,7,24,25,28,35,44,59} accuracy is 83.1%
Using feature(s) {5,7,24,25,29,35,44,59} accuracy is 83.2%
Using feature(s) {5,7,24,25,30,35,44,59} accuracy is 83.7%
Using feature(s) {5,7,24,25,31,35,44,59} accuracy is 83.1%
Using feature(s) {5,7,24,25,32,35,44,59} accuracy is 83.1%
Using feature(s) {5,7,24,25,33,35,44,59} accuracy is 83.0%
Using feature(s) {5,7,24,25,34,35,44,59} accuracy is 82.5%
Using feature(s) {5,7,24,25,35,36,44,59} accuracy is 83.3%
Using feature(s) {5,7,24,25,35,37,44,59} accuracy is 82.3%
Using feature(s) {5,7,24,25,35,38,44,59} accuracy is 82.9%
Using feature(s) {5,7,24,25,35,39,44,59} accuracy is 83.1%
Using feature(s) {5,7,24,25,35,40,44,59} accuracy is 83.4%
Using feature(s) {5,7,24,25,35,41,44,59} accuracy is 82.9%
